datetime,latitude,longitude,magnitude,location
2008-11-01 00:31:25.143741+00:00,-0.60443985,98.895531,2.989742,"Southern Sumatra, Indonesia"
2008-11-01 04:26:50.151996+00:00,0.48677173,98.328484,3.8534235,"Northern Sumatra, Indonesia"
2008-11-01 13:04:38.742915+00:00,0.10376831,98.546005,4.6574509,"Northern Sumatra, Indonesia"
2008-11-02 06:14:15.323865+00:00,-4.952435,103.52953,2.8161124,"Southern Sumatra, Indonesia"
2008-11-02 09:32:00.183849+00:00,-6.0246997,103.68754,4.5386735,"Southwest of Sumatra, Indonesia"
2008-11-03 19:22:03.486429+00:00,1.1020942,97.340324,5.4735323,"Northern Sumatra, Indonesia"
2008-11-03 19:37:18.020484+00:00,-5.9698324,103.95901,3.777004,"Southern Sumatra, Indonesia"
2008-11-03 19:57:54.571326+00:00,1.5327252,97.436081,4.2320457,"Northern Sumatra, Indonesia"
2008-11-03 20:20:28.118837+00:00,1.6179022,97.609711,4.1366778,"Northern Sumatra, Indonesia"
2008-11-03 20:35:50.855883+00:00,1.3042829,97.047951,4.2813123,"Northern Sumatra, Indonesia"
2008-11-03 23:49:18.686641+00:00,1.9673783,97.464478,4.2515517,"Northern Sumatra, Indonesia"
2008-11-04 00:48:24.081198+00:00,-4.8043203,102.84812,3.1216234,"Southern Sumatra, Indonesia"
2008-11-04 02:51:41.961779+00:00,-3.7671461,102.00196,4.8157669,"Southern Sumatra, Indonesia"
2008-11-04 20:48:54.011920+00:00,-5.8502584,103.64214,4.572056,"Southern Sumatra, Indonesia"
2008-11-06 11:16:57.312530+00:00,0.80702031,98.821701,4.1266229,"Northern Sumatra, Indonesia"
2008-11-06 18:37:12.230749+00:00,-2.3698919,99.819092,5.0197154,"Southern Sumatra, Indonesia"
2008-11-07 20:57:21.143222+00:00,-6.6745939,103.29979,3.558812,"Southwest of Sumatra, Indonesia"
2008-11-07 22:36:26.841863+00:00,3.598536,97.192276,3.4270603,"Northern Sumatra, Indonesia"
2008-11-08 05:11:10.158939+00:00,-5.5509791,102.69524,3.5491742,"Southern Sumatra, Indonesia"
2008-11-08 21:34:17.874560+00:00,-1.0232671,100.06579,3.6641625,"Southern Sumatra, Indonesia"
2008-11-09 17:59:07.691077+00:00,1.1267797,97.028923,4.7739444,"Northern Sumatra, Indonesia"
2008-11-10 05:59:04.136349+00:00,-3.1661372,103.89532,3.2174742,"Southern Sumatra, Indonesia"
2008-11-10 06:29:32.561365+00:00,-5.04146,103.04691,4.16432,"Southern Sumatra, Indonesia"
2008-11-10 08:58:49.154464+00:00,-0.4491584,99.819893,5.3083919,"Southern Sumatra, Indonesia"
2008-11-11 01:46:13.969775+00:00,-4.237164,102.05855,5.2464644,"Southern Sumatra, Indonesia"
2008-11-14 22:07:59.358433+00:00,-3.3909395,100.28915,4.5464477,"Southern Sumatra, Indonesia"
2008-11-14 22:56:34.955065+00:00,2.3753657,96.242249,4.955612,"Northern Sumatra, Indonesia"
2008-11-20 00:41:52.950356+00:00,-1.2723169,106.97099,5.6963306,"Southern Sumatra, Indonesia"
2008-11-20 00:42:31.880047+00:00,-0.94162518,99.610184,5.0790807,"Southern Sumatra, Indonesia"
2008-11-20 11:46:52.707448+00:00,5.9092679,99.74353,5.8674893,"Northern Sumatra, Indonesia"
2008-11-21 15:37:35.945508+00:00,-4.3954172,102.12586,4.4078248,"Southern Sumatra, Indonesia"
2008-11-22 13:39:08.645402+00:00,-2.4735756,100.81345,4.2107799,"Southern Sumatra, Indonesia"
2008-11-22 16:01:00.895793+00:00,-4.4551978,101.12991,6.4382377,"Southern Sumatra, Indonesia"
2008-11-22 16:11:54.420375+00:00,-4.1683311,101.43063,6.1925681,"Southern Sumatra, Indonesia"
2008-11-22 22:05:56.978880+00:00,-4.7304573,101.1042,4.8597935,"Southern Sumatra, Indonesia"
2008-11-24 04:19:14.600545+00:00,1.2592666,100.17884,4.028629,"Northern Sumatra, Indonesia"
2008-11-27 09:24:35.286598+00:00,-0.89927071,103.44462,4.0938639,"Southern Sumatra, Indonesia"
2008-11-28 08:50:46.779396+00:00,-4.9121499,101.49804,5.8711438,"Southern Sumatra, Indonesia"
2008-11-29 00:41:34.749360+00:00,1.7973018,98.958733,4.0358264,"Northern Sumatra, Indonesia"
2008-11-30 21:19:13.677536+00:00,1.8442833,98.734604,4.6560538,"Northern Sumatra, Indonesia"
2008-12-01 03:39:38.682466+00:00,-2.8950477,102.8905,4.1548967,"Southern Sumatra, Indonesia"
2008-12-01 18:06:34.216411+00:00,-1.3390365,97.242912,4.877618,"Southwest of Sumatra, Indonesia"
2008-12-04 21:01:30.358978+00:00,4.148716,96.618492,4.3904553,"Northern Sumatra, Indonesia"
2008-12-05 13:51:48.072616+00:00,2.8451722,95.590935,4.3030037,Off West Coast of Northern Sumatra
2008-12-07 23:51:17.765042+00:00,3.3509326,98.395691,4.5359327,"Northern Sumatra, Indonesia"
2008-12-15 10:29:28.030411+00:00,-6.0646911,103.64072,4.925552,"Southwest of Sumatra, Indonesia"
2008-12-15 21:18:07.940136+00:00,-3.0104959,100.7103,5.2038759,"Southern Sumatra, Indonesia"
2008-12-17 16:06:54.946973+00:00,-6.3234529,103.23236,5.4556373,"Southwest of Sumatra, Indonesia"
2008-12-17 22:26:16.140115+00:00,0.50580543,98.227768,4.4161756,"Northern Sumatra, Indonesia"
2008-12-17 23:14:10.779277+00:00,-5.8553243,104.14333,4.5067208,"Southern Sumatra, Indonesia"
2008-12-19 01:27:20.068688+00:00,-1.7604165,99.716385,5.0812934,"Southern Sumatra, Indonesia"
2008-12-20 00:02:53.275639+00:00,-4.4390411,102.25082,4.7672042,"Southern Sumatra, Indonesia"
2008-12-20 21:29:58.351994+00:00,1.0743754,98.363838,4.6137272,"Northern Sumatra, Indonesia"
2008-12-21 13:47:53.864542+00:00,4.8507719,95.086578,5.1425022,"Northern Sumatra, Indonesia"
2008-12-23 04:50:25.394169+00:00,-0.98948222,100.03011,3.0315676,"Southern Sumatra, Indonesia"
2008-12-24 05:04:52.546788+00:00,3.7989881,95.867233,3.7678009,Off West Coast of Northern Sumatra
2008-12-27 15:07:22.274152+00:00,0.20640978,95.619057,4.7046496,Off West Coast of Northern Sumatra
2008-12-30 05:38:59.899544+00:00,-4.5267463,102.09875,4.5440236,"Southern Sumatra, Indonesia"
2008-12-30 17:28:37.830341+00:00,1.5656542,98.660568,3.7521908,"Northern Sumatra, Indonesia"
2008-12-30 19:49:58.659577+00:00,-4.1068988,101.27487,5.8138954,"Southern Sumatra, Indonesia"
2008-12-30 20:32:42.166229+00:00,-4.3819318,101.0112,5.1315694,"Southern Sumatra, Indonesia"
2009-01-01 16:57:53.325546+00:00,-4.4195518,101.07265,5.2536095,"Southern Sumatra, Indonesia"
2009-01-01 18:37:24.148550+00:00,-4.3729982,101.11667,5.1221533,"Southern Sumatra, Indonesia"
2009-01-05 16:54:42.225176+00:00,-3.6419444,100.48566,5.1453859,"Southern Sumatra, Indonesia"
2009-01-07 02:39:41.486819+00:00,2.5655205,95.853447,4.0111995,Off West Coast of Northern Sumatra
2009-01-07 02:43:19.337497+00:00,2.5792813,97.570419,4.2439164,"Northern Sumatra, Indonesia"
2009-01-08 11:40:46.481528+00:00,2.0367761,96.7052,4.8138567,"Northern Sumatra, Indonesia"
2009-01-09 06:54:47.006045+00:00,-2.109868,99.719193,5.1944164,"Southern Sumatra, Indonesia"
2009-01-11 19:50:44.819838+00:00,-1.7768536,99.429817,4.9120423,"Southern Sumatra, Indonesia"
2009-01-12 02:04:24.734673+00:00,3.3113372,95.997231,4.5060902,Off West Coast of Northern Sumatra
2009-01-12 22:14:07.472791+00:00,2.8450227,95.728996,5.3289062,Off West Coast of Northern Sumatra
2009-01-13 13:50:33.896009+00:00,-1.4236088,99.995071,4.3340349,"Southern Sumatra, Indonesia"
2009-01-21 14:25:13.876152+00:00,-2.2554076,100.32025,4.5960439,"Southern Sumatra, Indonesia"
2009-01-23 13:21:03.492847+00:00,-4.1543775,101.67062,4.84943,"Southern Sumatra, Indonesia"
2009-01-24 00:36:11.016957+00:00,0.20123686,96.859421,5.1878723,Off West Coast of Northern Sumatra
2009-01-26 05:23:23.960460+00:00,-0.21092507,99.646591,5.0815732,"Southern Sumatra, Indonesia"
2009-01-26 19:33:07.520164+00:00,-0.24819902,98.049004,5.4304352,"Southern Sumatra, Indonesia"
2009-01-27 20:31:31.239185+00:00,0.5026437,97.388107,4.8778715,"Northern Sumatra, Indonesia"
2009-01-28 00:01:14.726737+00:00,-0.29122791,98.211769,5.6107454,"Southern Sumatra, Indonesia"
2009-01-28 00:58:59.567512+00:00,-0.17775516,98.459328,4.0797472,"Southern Sumatra, Indonesia"
2009-01-28 01:13:53.588402+00:00,-0.94442332,98.233879,3.5332003,"Southern Sumatra, Indonesia"
2009-01-28 02:39:07.900476+00:00,-0.43927762,98.035416,4.9346075,"Southern Sumatra, Indonesia"
2009-01-31 06:35:16.591373+00:00,4.9894571,95.035759,4.7462299,"Northern Sumatra, Indonesia"
2009-02-02 09:04:35.606029+00:00,-4.6197248,102.65517,5.0256858,"Southern Sumatra, Indonesia"
2009-02-03 07:14:13.953392+00:00,-7.2756705,104.51884,5.4210635,"Southwest of Sumatra, Indonesia"
2009-02-04 09:03:44.895303+00:00,2.382457,96.098694,4.8720512,"Northern Sumatra, Indonesia"
2009-02-07 12:51:07.254004+00:00,2.761807,95.546783,4.2378435,Off West Coast of Northern Sumatra
2009-02-11 21:11:36.890661+00:00,2.3286951,99.740334,3.9945469,"Northern Sumatra, Indonesia"
2009-02-12 21:50:03.286480+00:00,-5.0735703,104.61007,4.5010261,"Southern Sumatra, Indonesia"
2009-02-13 08:26:40.815440+00:00,1.1499614,96.689468,4.1042548,Off West Coast of Northern Sumatra
2009-02-13 13:43:46.531044+00:00,2.0073223,96.555824,3.6499195,"Northern Sumatra, Indonesia"
2009-02-13 13:45:38.185229+00:00,2.0438013,96.777168,3.7745159,"Northern Sumatra, Indonesia"
2009-02-14 03:24:09.298722+00:00,1.3291103,98.164726,2.3331553,"Northern Sumatra, Indonesia"
2009-02-14 19:13:10.811591+00:00,2.5194397,96.883499,3.885762,"Northern Sumatra, Indonesia"
2009-02-14 21:58:52.012600+00:00,1.7236707,96.907341,4.4798574,Off West Coast of Northern Sumatra
2009-02-14 23:26:56.421903+00:00,2.8147528,98.440491,2.9092447,"Northern Sumatra, Indonesia"
2009-02-15 03:56:32.678971+00:00,1.7418782,96.827171,4.9090706,Off West Coast of Northern Sumatra
2009-02-15 04:12:42.190450+00:00,2.2710884,95.004837,4.3029552,Off West Coast of Northern Sumatra
2009-02-17 17:47:36.071833+00:00,3.188961,97.166092,3.8848671,"Northern Sumatra, Indonesia"
2009-02-17 18:28:33.183437+00:00,-3.87486,100.97066,4.0166626,"Southern Sumatra, Indonesia"
2009-02-17 19:55:29.485792+00:00,1.596802,95.759682,3.5209961,Off West Coast of Northern Sumatra
2009-02-17 20:13:21.845784+00:00,0.62499523,99.70433,2.6506303,"Northern Sumatra, Indonesia"
2009-02-18 10:33:33.907106+00:00,-1.8161324,100.12648,3.3743344,"Southern Sumatra, Indonesia"
2009-02-19 03:26:02.898481+00:00,1.606632,95.495117,3.6546959,Off West Coast of Northern Sumatra
2009-02-19 04:59:05.094065+00:00,1.6594392,99.105331,3.3595073,"Northern Sumatra, Indonesia"
2009-02-19 11:38:11.233045+00:00,0.20918345,96.885063,4.5737671,Off West Coast of Northern Sumatra
2009-02-19 15:13:36.550957+00:00,0.087859519,100.01188,3.2388722,"Northern Sumatra, Indonesia"
2009-02-19 16:53:54.675011+00:00,1.3334738,99.402382,2.5120967,"Northern Sumatra, Indonesia"
2009-02-20 11:14:54.536574+00:00,-3.6975808,103.42667,4.086601,"Southern Sumatra, Indonesia"
2009-02-20 11:41:14.452977+00:00,1.4944797,98.872711,3.466652,"Northern Sumatra, Indonesia"
2009-02-22 16:39:31.152060+00:00,-0.5026226,97.94635,3.9980627,"Southwest of Sumatra, Indonesia"
2009-02-22 18:16:56.664326+00:00,2.2189283,99.082901,3.1680098,"Northern Sumatra, Indonesia"
2009-02-22 23:37:51.463212+00:00,0.38660926,98.545998,3.1214511,"Northern Sumatra, Indonesia"
2009-02-23 02:07:46.278904+00:00,-2.6773262,99.592354,3.8481869,"Southern Sumatra, Indonesia"
2009-02-23 05:56:34.944275+00:00,0.57744211,98.456696,5.3201401,"Northern Sumatra, Indonesia"
2009-02-24 10:02:41.352548+00:00,-4.5656767,103.31521,4.2858377,"Southern Sumatra, Indonesia"
2009-02-24 12:13:18.893926+00:00,1.6322136,97.287094,5.1505826,"Northern Sumatra, Indonesia"
2009-02-24 12:53:55.614836+00:00,1.3415955,96.759315,3.7465501,Off West Coast of Northern Sumatra
2009-02-24 15:29:24.878872+00:00,1.3600053,97.053825,4.4191837,"Northern Sumatra, Indonesia"
2009-02-25 02:55:51.763215+00:00,0.53921413,100.74916,3.3925661,"Northern Sumatra, Indonesia"
2009-02-25 03:46:41.127590+00:00,-1.568211,99.557304,3.6538915,"Southern Sumatra, Indonesia"
2009-02-25 18:40:35.974142+00:00,-6.0415034,103.93367,4.3523642,"Southwest of Sumatra, Indonesia"
2009-02-26 00:03:30.778765+00:00,1.2556528,96.877922,4.7510298,Off West Coast of Northern Sumatra
2009-02-26 06:54:23.109661+00:00,0.97479624,97.17469,4.0727307,"Northern Sumatra, Indonesia"
2009-02-26 06:58:34.639660+00:00,0.87615466,97.1782,3.588593,"Northern Sumatra, Indonesia"
2009-02-26 07:02:59.261997+00:00,1.0012292,97.015686,4.168525,"Northern Sumatra, Indonesia"
2009-02-26 15:21:25.085740+00:00,-3.4895935,100.23948,4.5938198,"Southern Sumatra, Indonesia"
2009-02-27 05:25:47.549839+00:00,1.6420454,97.05838,4.9122716,"Northern Sumatra, Indonesia"
2009-02-28 14:27:54.819836+00:00,2.3309438,96.050674,3.8902965,"Northern Sumatra, Indonesia"
2009-02-28 16:51:39.624381+00:00,-1.2002738,99.781807,4.4219103,"Southern Sumatra, Indonesia"
